group_end_ns,group_key,observed_ranks,kind,group_first_start_ns,behavior,start_ns,end_ns,service_ns,group_ready_ns,rank,pp_stage,completion_advance_ns,iteration,arrival_wait_ns,group_size,round,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,provider_rank_done_offset_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026196977,1785477765038666530,11780520,1785477765026886772,0,0,762,55,689795,16,0,148986880,world_rs_done,29520720,1785477765004337188,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,762,trace_group_end_lag_clamped,1785477765016806741
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026123080,1785477765038662688,11780520,1785477765026886772,1,0,4604,55,763692,16,0,148986880,world_rs_done,29446823,1785477765004263291,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,4604,trace_group_end_lag_clamped,1785477765016802899
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026261014,1785477765038644455,11780520,1785477765026886772,2,0,22837,55,625758,16,0,148986880,world_rs_done,29584757,1785477765004401225,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,22837,trace_group_end_lag_clamped,1785477765016784666
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026214680,1785477765038667292,11780520,1785477765026886772,3,0,0,55,672092,16,0,148986880,world_rs_done,29538423,1785477765004354891,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,0,trace_group_end_lag_clamped,1785477765016807503
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026190070,1785477765038650458,11780520,1785477765026886772,4,0,16834,55,696702,16,0,148986880,world_rs_done,29513813,1785477765004330281,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,16834,trace_group_end_lag_clamped,1785477765016790669
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026169079,1785477765038663478,11780520,1785477765026886772,5,0,3814,55,717693,16,0,148986880,world_rs_done,29492822,1785477765004309290,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,3814,trace_group_end_lag_clamped,1785477765016803689
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026160944,1785477765038642957,11780520,1785477765026886772,6,0,24335,55,725828,16,0,148986880,world_rs_done,29484687,1785477765004301155,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,24335,trace_group_end_lag_clamped,1785477765016783168
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026184668,1785477765038641866,11780520,1785477765026886772,7,0,25426,55,702104,16,0,148986880,world_rs_done,29508411,1785477765004324879,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,25426,trace_group_end_lag_clamped,1785477765016782077
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026372156,1785477765038645138,11780520,1785477765026886772,8,0,22154,55,514616,16,0,148986880,world_rs_done,29695899,1785477765004512367,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,22154,trace_group_end_lag_clamped,1785477765016785349
1785477765038667292,dp_param_allgather:pg=1,16,dp_ag0,1785477765026058723,dp_param_allgather,1785477765026189513,1785477765038644614,11780520,1785477765026886772,9,0,22678,55,697259,16,0,148986880,world_rs_done,29513256,1785477765004329724,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,22678,trace_group_end_lag_clamped,1785477765016784825
